,Date,Price,Investment,Shares
73,2025-03-17T04:00:00.000Z,276.7300109863281,10,0.03613630471215517
74,2025-03-17T04:00:00.000Z,276.7300109863281,10,0.03613630471215517
75,2025-03-18T04:00:00.000Z,279.9599914550781,10,0.03571938957429416
76,2025-03-19T04:00:00.000Z,281.1099853515625,10,0.03557326498912436
77,2025-03-20T04:00:00.000Z,280.75,10,0.03561887800534283
78,2025-03-21T04:00:00.000Z,278.489990234375,10,0.03590793332135234
79,2025-03-24T04:00:00.000Z,277.25,10,0.03606853020739405
80,2025-03-24T04:00:00.000Z,277.25,10,0.03606853020739405
81,2025-03-24T04:00:00.000Z,277.25,10,0.03606853020739405
82,2025-03-25T04:00:00.000Z,278.4700012207031,10,0.035910510849154045
83,2025-03-26T04:00:00.000Z,278.239990234375,10,0.03594019677608713
84,2025-03-27T04:00:00.000Z,281.9700012207031,10,0.0354647656016883
85,2025-03-28T04:00:00.000Z,284.05999755859375,10,0.035203830479289065
86,2025-03-31T04:00:00.000Z,288.1400146484375,10,0.03470534980086365
87,2025-03-31T04:00:00.000Z,288.1400146484375,10,0.03470534980086365
88,2025-03-31T04:00:00.000Z,288.1400146484375,10,0.03470534980086365
89,2025-04-01T04:00:00.000Z,287.57000732421875,10,0.034774141062372935
90,2025-04-02T04:00:00.000Z,288.1600036621094,10,0.03470294236852453
91,2025-04-03T04:00:00.000Z,286.4200134277344,10,0.03491376136857512
92,2025-04-04T04:00:00.000Z,279.7200012207031,10,0.03575003559402195
93,2025-04-07T04:00:00.000Z,273.7099914550781,10,0.03653501995611739
94,2025-04-07T04:00:00.000Z,273.7099914550781,10,0.03653501995611739
95,2025-04-07T04:00:00.000Z,273.7099914550781,10,0.03653501995611739
96,2025-04-08T04:00:00.000Z,275.20001220703125,10,0.03633720769051806
97,2025-04-09T04:00:00.000Z,285.3800048828125,10,0.03504099736807548
98,2025-04-10T04:00:00.000Z,292.3500061035156,10,0.034205574794683564
99,2025-04-11T04:00:00.000Z,297.92999267578125,10,0.033564932184865254
100,2025-04-14T04:00:00.000Z,296.2300109863281,10,0.033757552000568666
101,2025-04-14T04:00:00.000Z,296.2300109863281,10,0.033757552000568666
102,2025-04-14T04:00:00.000Z,296.2300109863281,10,0.033757552000568666
103,2025-04-15T04:00:00.000Z,297.7799987792969,10,0.033581839079164
104,2025-04-16T04:00:00.000Z,307.4700012207031,10,0.032523498098346065
105,2025-04-17T04:00:00.000Z,306.1199951171875,10,0.032666928523149376
